id,text
1,The new bakery downtown smells amazing every morning.
2,My phone battery died in the middle of an important call.
3,He finished his first marathon last weekend.
4,The customer representative was incredibly patient and kind.
5,The instructions were confusing and poorly written.
6,We’re planning a road trip across the country next summer.
7,The coffee was burnt and tasted horrible.
8,She couldn’t stop smiling after receiving the gift.
9,It took three hours to fix the internet connection.
10,The museum had an impressive collection of modern art.
11,The app froze and lost all my progress.
12,I’m so excited to see my favorite band live!
13,He forgot his umbrella and got soaked in the rain.
14,The fabric feels soft and high-quality.
15,There’s a strange noise coming from the air conditioner.
16,My friend just got accepted into her dream university!
17,The meeting was canceled at the last minute.
18,The park was quiet and peaceful early this morning.
19,I love how user-friendly this website is.
20,The bread was stale and hard to chew.
21,She baked cookies for everyone in the office.
22,I missed my flight because of a traffic jam.
23,The colors on this sunset are breathtaking.
24,He didn’t show up for the interview.
25,The soup was too salty for my taste.
26,I appreciate how quickly they responded to my email.
27,The laptop overheats after just a few minutes of use.
28,We had a fantastic time hiking in the mountains.
29,The service at this restaurant keeps getting worse.
30,The view from the top of the hill was stunning.
31,She’s been feeling under the weather lately.
32,The movie had a weak storyline but great visuals.
33,I love spending weekends at the beach.
34,The package was damaged when it arrived.
35,He handled the situation very professionally.
36,The flight was delayed due to bad weather.
37,I’m proud of my team for finishing the project early.
38,The soup tasted bland and watery.
39,She found the perfect dress for the wedding.
40,The new update made the app much faster.
41,The customer ignored my complaint completely.
42,The children were laughing and playing outside.
43,He forgot to save his work before the computer crashed.
44,The delivery person was polite and right on time.
45,My favorite bakery closed down last week.
46,The performance was energetic and full of emotion.
47,The noise from the construction is driving me crazy.
48,We spent the afternoon watching clouds in the park.
49,He didn’t return my calls all weekend.
50,The phone screen cracked after a small drop.
51,The food presentation was beautiful.
52,I couldn’t believe how messy the room was.
53,They announced a new feature coming next month.
54,Her kindness always makes people feel comfortable.
55,It’s frustrating when people don’t listen carefully.
56,The hotel room was spotless and cozy.
57,He’s learning to cook traditional dishes from his hometown.
58,The manager never replied to my request.
59,The fireworks show was absolutely spectacular.
60,I had a terrible headache all day.
61,The library extended its opening hours this week.
62,My luggage was lost at the airport again.
63,The smoothie was fresh and delicious.
64,The waiting time at the clinic was too long.
65,We adopted a puppy and named her Luna.
66,The keyboard stopped working suddenly.
67,He looked disappointed after reading the news.
68,The concert tickets sold out in just five minutes.
69,The salad was crisp and refreshing.
70,She was nervous before giving her presentation.
71,The software installation took forever to complete.
72,I’m so grateful for your support and encouragement.
73,The air smelled like rain and fresh grass.
74,He complained about the slow Wi-Fi all day.
75,The concert venue was smaller than expected.
76,She shared a touching story about her grandmother.
77,The water pressure in the shower was terrible.
78,He smiled when he saw his old childhood friend.
79,The book’s ending was confusing and abrupt.
80,We finally finished decorating the living room.
81,The camera lens got scratched during the trip.
82,That was the best pizza I’ve ever had!
83,The temperature dropped suddenly overnight.
84,I lost my wallet somewhere in the subway.
85,The teacher praised our group for the presentation.
86,The chair was uncomfortable to sit on for long.
87,The new café has a cozy and relaxing vibe.
88,He spilled coffee all over his shirt.
89,The app interface looks clean and modern.
90,I felt ignored during the entire conversation.
91,The play received standing ovations from the audience.
92,She was disappointed with her exam results.
93,The shop assistant was rude and unhelpful.
94,We watched the sunrise from the beach.
95,The battery life on this laptop is impressive.
96,The soup spilled all over the table.
97,I’m excited to start my photography course soon.
98,The movie soundtrack was forgettable.
99,He found a wallet and returned it to the owner.
100,The test results will be available tomorrow.